,Catalytic rate (per second),Concentration (M),Flux threshold,Number of angles
86,200,0.0003981071705534888,0.01,237
87,200,0.0005011872336272613,0.01,245
88,200,0.0006309573444801788,0.01,255
89,200,0.0007943282347242627,0.01,254
90,200,0.0009999999999999755,0.01,274
91,200,0.0012589254117941352,0.01,274
92,200,0.001584893192461072,0.01,278
93,200,0.0019952623149688256,0.01,288
94,200,0.00251188643150951,0.01,284
95,200,0.0031622776601682888,0.01,285
96,200,0.0039810717055348555,0.01,288
97,200,0.005011872336272571,0.01,291
98,200,0.006309573444801736,0.01,295
99,200,0.007943282347242562,0.01,297
100,200,0.009999999999999672,0.01,295
101,200,0.01258925411794125,0.01,307
102,200,0.01584893192461059,0.01,299
103,200,0.019952623149688094,0.01,291
104,200,0.025118864315094896,0.01,301
105,200,0.03162277660168263,0.01,295
106,200,0.03981071705534823,0.01,298
107,200,0.0501187233627253,0.01,294
108,200,0.06309573444801685,0.01,299
109,200,0.07943282347242496,0.01,301
110,200,0.09999999999999591,0.01,300
111,200,0.12589254117941148,0.01,298
112,200,0.1584893192461046,0.01,297
113,200,0.1995262314968793,0.01,297
114,200,0.2511886431509469,0.01,301
115,200,0.31622776601682373,0.01,296
116,200,0.398107170553479,0.01,295
117,200,0.5011872336272489,0.01,300
118,200,0.6309573444801633,0.01,297
119,200,0.7943282347242432,0.01,300
120,200,1e-06,0.1,2
121,200,1.2589254117941661e-06,0.1,2
122,200,1.584893192461111e-06,0.1,3
123,200,1.995262314968875e-06,0.1,4
124,200,2.5118864315095717e-06,0.1,4
125,200,3.1622776601683665e-06,0.1,3
126,200,3.981071705534953e-06,0.1,4
127,200,5.0118723362726945e-06,0.1,4
128,200,6.3095734448018915e-06,0.1,5
129,200,7.943282347242757e-06,0.1,8
130,200,9.999999999999918e-06,0.1,8
131,200,1.258925411794156e-05,0.1,11
132,200,1.584893192461098e-05,0.1,14
133,200,1.9952623149688583e-05,0.1,16
134,200,2.5118864315095514e-05,0.1,17
135,200,3.16227766016834e-05,0.1,22
136,200,3.981071705534921e-05,0.1,28
137,200,5.011872336272653e-05,0.1,36
138,200,6.30957344480184e-05,0.1,42
139,200,7.943282347242692e-05,0.1,46
140,200,9.999999999999836e-05,0.1,52
141,200,0.00012589254117941455,0.1,61
142,200,0.0001584893192461085,0.1,64
143,200,0.00019952623149688422,0.1,70
144,200,0.0002511886431509531,0.1,81
145,200,0.0003162277660168315,0.1,85
146,200,0.0003981071705534888,0.1,90
147,200,0.0005011872336272613,0.1,93
148,200,0.0006309573444801788,0.1,102
149,200,0.0007943282347242627,0.1,110
150,200,0.0009999999999999755,0.1,114
151,200,0.0012589254117941352,0.1,122
152,200,0.001584893192461072,0.1,126
153,200,0.0019952623149688256,0.1,132
154,200,0.00251188643150951,0.1,136
155,200,0.0031622776601682888,0.1,135
156,200,0.0039810717055348555,0.1,137
157,200,0.005011872336272571,0.1,137
158,200,0.006309573444801736,0.1,139
159,200,0.007943282347242562,0.1,139
160,200,0.009999999999999672,0.1,138
161,200,0.01258925411794125,0.1,139
162,200,0.01584893192461059,0.1,142
163,200,0.019952623149688094,0.1,141
164,200,0.025118864315094896,0.1,143
165,200,0.03162277660168263,0.1,143
166,200,0.03981071705534823,0.1,143
167,200,0.0501187233627253,0.1,143
168,200,0.06309573444801685,0.1,143
169,200,0.07943282347242496,0.1,143
170,200,0.09999999999999591,0.1,141
171,200,0.12589254117941148,0.1,142
172,200,0.1584893192461046,0.1,141
173,200,0.1995262314968793,0.1,142
174,200,0.2511886431509469,0.1,142
175,200,0.31622776601682373,0.1,142
176,200,0.398107170553479,0.1,143
177,200,0.5011872336272489,0.1,142
178,200,0.6309573444801633,0.1,143
179,200,0.7943282347242432,0.1,142
180,200,1e-06,1.0,0
181,200,1.2589254117941661e-06,1.0,0
182,200,1.584893192461111e-06,1.0,0
